25634, Gitwe, Emergency
44796, Murunda, Resupply
45130, Gikonko, Resupply
45167, Nyanza, Resupply
45451, Kinihira, Emergency
45479, Nyanza, Emergency
45520, Kibilizi, Resupply
45538, Kibilizi, Resupply
45637, Nyanza, Resupply
45644, Gitwe, Emergency
45667, Gakoma, Resupply
46367, Ruhango, Resupply
46409, Ruhango, Resupply
46468, Byumba, Resupply
46605, Kabgayi, Resupply
46629, Gitwe, Emergency
46855, Kabgayi, Resupply
46885, Nemba, Resupply
47355, Shyira, Resupply
47485, Ruli, Resupply
47534, Nemba, Resupply
47691, Nemba, Emergency
47807, Kigeme, Resupply
47858, Butaro, Emergency
48378, Butaro, Resupply
48564, Muhororo, Resupply
48613, Nyanza, Resupply
48939, Gakoma, Emergency
49031, Gitwe, Resupply
49215, Byumba, Resupply
49290, Kigeme, Resupply
49458, Kirinda, Resupply
49475, Bigogwe, Resupply
49635, Kabgayi, Resupply
49644, Kaduha, Resupply
49811, Nemba, Resupply
49856, Nyanza, Resupply
50221, Gitwe, Resupply
50239, Kibilizi, Resupply
50259, Kabgayi, Resupply
50459, Kigeme, Emergency
50636, Kibilizi, Resupply
50688, Muhororo, Emergency
50779, Nemba, Resupply
51002, Mugonero, Emergency
51292, Nyanza, Resupply
51378, Kabaya, Resupply
51551, Kirinda, Resupply
53259, Kabgayi, Emergency
53315, Ruhango, Emergency
53454, Byumba, Emergency
53617, Kabaya, Emergency
53875, Murunda, Emergency
53917, Kibilizi, Emergency
54167, Murunda, Resupply
54486, Kaduha, Resupply
54704, Bigogwe, Resupply
54746, Gakoma, Resupply
54798, Nyanza, Resupply
55037, Kibilizi, Emergency
55104, Muhororo, Resupply
55248, Kigeme, Resupply
55301, Kibilizi, Emergency
55323, Bigogwe, Emergency
55359, Bigogwe, Resupply
55645, Butaro, Emergency
55967, Gakoma, Resupply
56160, Kabgayi, Emergency
56169, Kaduha, Emergency
56271, Muhororo, Emergency
57007, Nemba, Resupply
57030, Gikonko, Resupply
57478, Muhororo, Resupply
57515, Kaduha, Emergency
57532, Ruhango, Resupply
57555, Butaro, Emergency
57779, Gitwe, Emergency
57891, Gikonko, Emergency
57977, Kibilizi, Resupply
57977, Kigeme, Resupply
57999, Kigeme, Resupply
58145, Byumba, Emergency
58336, Byumba, Resupply
58341, Ruli, Resupply
58567, Gakoma, Emergency
58680, Nyanza, Emergency
58774, Byumba, Resupply
58992, Gikonko, Emergency
59037, Nyanza, Emergency
59145, Murunda, Emergency
59155, Murunda, Resupply
59179, Kibilizi, Resupply
59194, Bigogwe, Resupply
59974, Ruli, Resupply
60624, Muhororo, Resupply
60624, Murunda, Resupply
60675, Butaro, Emergency
60694, Shyira, Resupply
60959, Kabaya, Emergency
61146, Kaduha, Resupply
61155, Ruli, Resupply
61201, Murunda, Resupply
61332, Kibilizi, Emergency
61388, Ruli, Emergency
61582, Ruli, Resupply
61601, Murunda, Resupply
61640, Kirinda, Resupply
61651, Nyanza, Emergency
61745, Mugonero, Resupply
61817, Kaduha, Resupply
62279, Mugonero, Emergency
62582, Gikonko, Resupply
62594, Murunda, Resupply
62713, Mugonero, Resupply
62760, Ruli, Emergency
62867, Kinihira, Resupply
62944, Kibilizi, Resupply
63076, Kabaya, Emergency
63138, Kinihira, Resupply
63192, Muhororo, Resupply
63255, Kinihira, Emergency
63284, Ruhango, Resupply
63415, Kibilizi, Resupply
63445, Kigeme, Resupply
63492, Kibilizi, Resupply
63518, Ruli, Emergency
63724, Murunda, Resupply
63908, Kabaya, Emergency
64070, Kabgayi, Emergency
64476, Nemba, Resupply
64529, Kaduha, Resupply
64570, Ruhango, Resupply
64805, Kibilizi, Emergency
64951, Ruli, Resupply
65059, Kirinda, Emergency
65109, Gakoma, Emergency
65151, Kaduha, Resupply
65480, Bigogwe, Emergency
65583, Gitwe, Emergency
65667, Kibilizi, Resupply
65713, Byumba, Resupply
65812, Bigogwe, Emergency
66149, Gikonko, Resupply
66366, Kinihira, Emergency
66502, Nyanza, Resupply
66528, Kaduha, Emergency
66536, Murunda, Resupply
66617, Kigeme, Resupply
66633, Byumba, Resupply
66802, Murunda, Resupply
66851, Ruli, Resupply
66971, Kaduha, Resupply
67176, Nyanza, Resupply
67306, Bigogwe, Resupply
67308, Ruli, Emergency
67402, Bigogwe, Resupply
67576, Kigeme, Resupply
68131, Kabaya, Emergency
68515, Kirinda, Resupply
68735, Kabaya, Resupply
68761, Nyanza, Resupply
69018, Shyira, Resupply
69474, Ruhango, Resupply
69550, Gikonko, Emergency
69640, Gakoma, Resupply
69726, Byumba, Resupply
69913, Murunda, Resupply
69981, Nemba, Emergency
70022, Kigeme, Emergency
70427, Nemba, Emergency
70539, Nemba, Resupply
70674, Gitwe, Emergency
70791, Nyanza, Resupply
71061, Kigeme, Resupply
71123, Bigogwe, Resupply
71262, Mugonero, Resupply
71380, Nyanza, Resupply
71509, Murunda, Resupply
71625, Mugonero, Resupply
71694, Kibilizi, Emergency
71769, Kaduha, Resupply
